Route ID,Route Description,Route Description Marathi,Kilometer
188-U,Hadapsar Gadital To Katraj,हडपसर गाडीतळ ते कात्रज,18
189-D,Devachi Uruli To Hadapsar Gadital,देवाची उरूळी ते हडपसर गाडीतळ,6.7
189-U,Hadapsar Gadital To Devachi Uruli,हडपसर गाडीतळ ते देवाची उरूळी,6.7
18-D,Bhansali Complex To Swargate,भन्साळी कॉम्प्लेक्स ते स्वारगेट,8.5
18-U,Swargate To Bhansali Complex,स्वारगेट ते भन्साळी कॉम्प्लेक्स,8.5
190A-D,Vadkigaon To Hadapsar Gadital,वड्कीगाव ते हडपसर गाडीतळ,8.7
190A-U,Hadapsar Gadital To Vadkigaon,हडपसर गाडीतळ ते वड्कीगाव,8.7
190-D,Fursungi To Hadapsar Gadital,फुरूसूंगी ते हडपसर गाडीतळ,6
190-U,Hadapsar Gadital To Fursungi,हडपसर गाडीतळ ते फुरूसूंगी,6
191-D,Trinity College To Pune Station,ट्रीनिटी कॉलेज ते पुणे स्टेशन,14.5
191-U,Pune Station To Trinity College,पुणे स्टेशन ते ट्रीनिटी कॉलेज,14.5
192A-D,Mohammadwadigaon To Hadapsar Gadital,मंहमदवाडी गांव ते हडपसर गाडीतळ,6
192A-U,Hadapsar Gadital To Mohammadwadigaon,हडपसर गाडीतळ ते मंहमदवाडी गांव,6
192-D,Undrigaon To Hadapsar Gadital,उंड्री गांव ते हडपसर गाडीतळ,8
192-U,Hadapsar Gadital To Undrigaon,हडपसर गाडीतळ ते उंड्री गांव,8
193-D,Uruli Kanchan To Hadapsar Gadital,ऊरूळी कांचन ते हडपसर गाडीतळ,22.8
193-U,Hadapsar Gadital To Uruli Kanchan,हडपसर गाडीतळ ते ऊरूळी कांचन,22.8
195-D,Holkarwadi To Hadapsar Gadital,होळकरवाडी ते हडपसर गाडीतळ,8.5
195-U,Hadapsar Gadital To Holkarwadi,हडपसर गाडीतळ ते होळकरवाडी,8.5
196A-D,Mahammad Wadi To Swargate (Vai Ram Takedi),महंमदवाडी ते स्वारगेट (मार्गे राम टेकडी),13.1
196A-U,Swargate To Mahammad Wadi  (Vai Ram Takedi),स्वारगेट ते महंमदवाडी (मार्गे राम टेकडी),13.1
196-D, Hadapsar Gadital To Pune Station,हडपसर गाडीतळ ते पुणे स्टेशन,12.4
196-U,Pune Station To Hadapsar Gadital  ,पुणे स्टेशन ते हडपसर गाडीतळ ,12.4
197-D,Kothrud Depot To Hadapsar Gadital,कोथरुड डेपो ते हडपसर गाडीतळ,17.6
197-U,Hadapsar Gadital To Kothrud Depot,हडपसर गाडीतळ ते कोथरुड डेपो,17.6
198-D,Manjari Bk To Hadapsar Gadital,मांजरी बुद्रंक ते हडपसर गाडीतळ,11
198-U,Hadapsar Gadital To Manjari Bk,हडपसर गाडीतळ ते मांजरी बुद्रंक,11
19A-D,Shivajinagar To Marketyard,शिवाजीनगर ते मार्केटयार्ड,7.6
19A-U,Marketyard To Shivajinagar,मार्केटयार्ड ते शिवाजीनगर,7.6
19B-D,Kondhwa Hospital To Marketyard,कोंढवा हॉस्पिटल ते मार्केटयार्ड,9
19B-U,Marketyard To Kondhwa Hospital,मार्केटयार्ड ते कोंढवा हॉस्पिटल,9
19-D,Shivajinagar To Kondhwa Hospital,शिवाजीनगर ते कोंढवा हॉस्पिटल,16.6
19-U,Kondhwa Hospital To Shivajinagar,कोंढवा हॉस्पिटल ते शिवाजीनगर,16.6
200A-D,Hadapsar Gadital To Sadesatranali,हडपसर गाडीतळ ते साडेसतरानळी,3
200A-U,Sadesatranali To Hadapsar Gadital,साडेसतरानळी ते हडपसर गाडीतळ,3
200-D,Swargate To Sadesatranali,स्वारगेट ते साडेसतरानळी,12.4
200-U,Sadesatranali To Swargate,साडेसतरानळी ते स्वारगेट,12.4
201-D,Alandi To Bhekrainagar,आळंदी ते भेकराई नगर,34.3
201-U,Bhekrainagar To Alandi,भेकराई नगर ते आळंदी,34.3
202A-U,Mahatma Gandhi Stand To Warje Malwadi,महात्मा गांधी स्टॅण्ड ते वारजे माळवाडी,13.1
202B-D,Mahatma Gandhi Stand To Swargate,महात्मा गांधी स्टॅण्ड ते स्वारगेट,13.1
202B-U,Swargate To Mahatma Gandhi Stand,स्वारगेट ते महात्मा गांधी स्टॅण्ड,3
202-D,Warje Malwadi To Hadapsar Gadital,वारजे माळवाडी ते हडपसर गाडीतळ,19.2
202-U,Hadapsar Gadital To Ganpati Matha,हडपसर गाडीतळ ते वारजे माळवाडी,19.2
203-D,Pune Station To Bhekrainagar,पुणे स्टेशन ते भेकराई नगर,12.6
203-NGT-D,Pune Station To Hadapsar Gadital,पुणे स्टेशन ते हडपसर गाडीतळ,10
203-NGT-U,Hadapsar Gadital To Pune Station,हडपसर गाडीतळ ते पुणे स्टेशन,10
203P-D,Pune Station To Shewalwadi,पुणे स्टेशन ते शेवाळवाडी,13.5
203P-U,Shewalwadi To Pune Station,शेवाळवाडी ते पुणे स्टेशन,13.5
203-U,Bhekrainagar To Pune Station,भेकराई नगर ते पुणे स्टेशन,12.6
204-D,Chinchwadgaon To Bhekrainagar,चिंचवडगांव ते भेकराई नगर,31.9
204-U,Bhekrainagar To Chinchwadgaon,भेकराई नगर ते चिंचवडगांव,31.9
205-D,Vasantdada Putala Sangvi To Hadapsar Gadital,वंसतदादा पुतळा सांगवी ते हडपसर गाडीतळ,26.5
205-U,Hadapsar Gadital To Vasantdada Putala Sangvi,हडपसर गाडीतळ ते वंसतदादा पुतळा सांगवी,26.5
206-D,Vishalnagar To Hadapsar Gadital,विशालनगर ते हडपसर गाडीतळ,26.8
206-U,Hadapsar Gadital To Vishalnagar,हडपसर गाडीतळ ते विशालनगर,26.8
207A-D,Saswad To Hadapsar Gadital,सासवड ते हडपसर गाडीतळ,23
207A-U,Hadapsar Gadital To Saswad,हडपसर गाडीतळ ते सासवड,23
207-D,Saswad To Swargate,सासवड ते स्वारगेट,32.7
207-U,Swargate To Saswad,स्वारगेट ते सासवड,32.7
208A-D,Bhakti Shakti To Hadapsar Gadital,भक्ति शक्ति डेपो ते हडपसर गाडीतळ,28.2
208A-U,Hadapsar Gadital To Bhakti Shakti,हडपसर गाडीतळ ते भक्ति शक्ति डेपो,28.2
208-D,Hinjawadi Maan Phase 3 To Hadapsar Gadital,हिंजवडी माण फेज ३ ते हडपसर गाडीतळ,36.3
208-U,Hadapsar Gadital To Hinjawadi Maan Phase 3,हडपसर गाडीतळ ते हिंजवडी माण फेज ३,36.3
20A-D,Sahkarnagar To Swargate Depo,सहकारनगर ते स्वारगेट डेपो,3.4
20A-U,Swargate Depo To Sahkarnagar,स्वारगेट डेपो ते सहकारनगर,3.4
20B-D,Hadapsar Gadital To Swargate,हडपसर गाडीतळ ते स्वारगेट,9.5
20B-U,Swargate To Hadapsar Gadital,स्वारगेट ते हडपसर गाडीतळ,9.5
20-D,Pune Station To Sahkarnagar,पुणे स्टेशन ते सहकारनगर,9.5
20-U,Sahkarnagar To Pune Station,सहकारनगर ते पुणे स्टेशन,9.5
213-D,Vimannagar To Katraj,विमान नगर ते कात्रज,21.9
213-U,Katraj To Vimannagar,कात्रज ते विमान नगर,21.9
215A-U,Chintamani Dnyanpith To Swargate,चिंतामणी ज्ञानपीठ ते स्वारगेट  ,8.6
215A-D,SwargateTo Chintamani Dnyanpith,स्वारगेट ते चिंतामणी ज्ञानपीठ,8.6
215-D,Swargate To Chintamani Dnyanpith,स्वारगेट ते चिंतामणी ज्ञानपीठ,7.5
215-U,Chintamani Dnyanpith To Swargate,चिंतामणी ज्ञानपीठ ते स्वारगेट,7.5
216A-D,Mandai To Katraj,महात्मा फुले मंडई ते कात्रज,7.7
216A-U,Katraj To Mandai,कात्रज ते महात्मा फुले मंडई,7.7
216B-D,Pune Vidhyapeeth To Bharati Vidyapeeth,पुणे विद्यापीठ ते भारती विद्यापीठ गेट,16.5
216B-U,Bharati Vidyapeeth To Pune Vidhyapeeth,भारती विद्यापीठ गेट ते पुणे विद्यापीठ,16.5
216C-D,Mandai To Bharati Vidyapeeth,महात्मा फुले मंडई ते भारती विद्यापीठ गेट,7.7
216C-U,Bharati Vidyapeeth To Mandai,भारती विद्यापीठ गेट ते महात्मा फुले मंडई,7.7
216-R,Bharati Vidyapeeth To Bharati Vidyapeeth,भारती विद्यापीठ ते भारती विद्यापीठ,15.5
217A-D,Gujarwadi To Katraj,गुजरवाडी ते कात्रज,3.8
217A-U,Katraj To Gujarwadi,कात्रज ते गुजरवाडी,3.8
217B-D,Gujarwadi To Swargate,गुजरवाडी ते स्वारगेट,9.9
217B-U,Swargate To Gujarwadi,स्वारगेट ते गुजरवाडी,9.9
217-D,Gujarwadi To Jambhulwadi,गुजरवाडी ते जांभूळवाडी,7
217-U,Jambhulwadi To Gujarwadi,जांभूळवाडी ते गुजरवाडी,7
218-D,Balewadi Depot To Katraj,बालेवाडी डेपो ते कात्रज,23
218-U,Katraj To Balewadi Depot,कात्रज ते बालेवाडी डेपो,23
21A-D,Ammunition Factory To Swargate,अ‍ॅम्युनिशन फॅक्टरी ते स्वारगेट,9.5
21A-U,Swargate To Ammunition Factory,स्वारगेट ते अ‍ॅम्युनिशन फॅक्टरी,9.5
21B-D,HEMRL Company To Swargate,एचइएमआ एल कंपनी ते स्वारगेट,12.2
21B-U,Swargate To HEMRL Company,स्वारगेट ते एचइएमआ एल कंपनी,12.2
21-D,Vasantdada Putala Sangvi To Swargate,वंसतदादा पुतळा सांगवी ते स्वारगेट,14.85
21N-D,Pimplenilakh To Swargate,पिंपळे निलख ते स्वारगेट,15.1
21N-U,Swargate To Pimplenilakh,स्वारगेट ते पिंपळे निलख,15.1
21-U,Swargate To Vasantdada Putala Sangvi,स्वारगेट ते वंसतदादा पुतळा सांगवी,14.85
226-D,Dhayari Maruti Mandir To Pune Station,धायरी मारूती मंदिर ते पुणे स्टेशन,15.9
226-U,Pune Station To Dhayari Maruti Mandir,पुणे स्टेशन ते धायरी मारूती मंदिर,15.9
227A-D,Shivajinagar To Marketyard,शिवाजीनगर ते मार्केटयार्ड,7.6
227A-U,Marketyard To Shivajinagar,मार्केटयार्ड ते शिवाजीनगर,7.6
227-D,Marnewadi To Marketyard,मारणेवाडी ते मार्केटयार्ड,33.5
227-U,Marketyard To Marnewadi,मार्केटयार्ड ते मारणेवाडी,33.5
22A-D,Khandoba Mandir To Swargate,खडोंबा मंदिर ते स्वारगेट,6
22A-U,Swargate To Khandoba Mandir,स्वारगेट ते खडोंबा मंदिर,6
22-D,Shivajinagar To Khandoba Mandir,शिवाजीनगर ते खडोंबा मंदिर,10
22-U,Khandoba Mandir To Shivajinagar,खडोंबा मंदिर ते शिवाजीनगर,10
230-D,Pune Station To Bharati Vidyapeeth,पुणे स्टेशन ते भारती विद्यापीठ गेट,10.9
230-U,Bharati Vidyapeeth To Pune Station,भारती विद्यापीठ गेट ते पुणे स्टेशन,10.9
233-D,Paudgaon To Marketyard,पौडगाव ते मार्केटयार्ड,35.6
233-U,Marketyard To Paudgaon,मार्केटयार्ड ते पौडगाव,35.6
234-D,Kharadi Gaon To Ma Na Pa,खराडी गाव ते मनपा,14
234-U,Ma Na Pa To Kharadi Gaon,मनपा ते खराडी गाव,14
235-D,Kharadi Gaon To Katraj,खराडी गाव ते कात्रज,22.4
235-U,Katraj To Kharadi Gaon,कात्रज ते खराडी गाव,22.4
236-D,Khulewadi To Ma Na Pa,खुळेवाडी ते मनपा,13.5
236-U,Ma Na Pa To Khulewadi,मनपा ते खुळेवाडी,13.5
237-D,Kharadi Gaon To Warje Malwadi,खराडी गाव ते वारजे माळवाडी,24.2
237-U,Warje Malwadi To Kharadi Gaon,वारजे माळवाडी ते खराडी गाव,24.2
23-D,Pune Station To Upper Depot,पुणे स्टेशन ते अप्पर डेपो,11.4
23-U,Upper Depot To Pune Station,अप्पर डेपो ते पुणे स्टेशन,11.4
24A-D,Maharashtra Housing Board Samtanagar To Katraj,महाराष्ट्र हौसिंग बोर्ड (समतानगर) ते कात्रज,18
24A-U,Katraj To Maharashtra Housing Board Samtanagar,कात्रज ते महाराष्ट्र हौसिंग बोर्ड (समतानगर),18
24B-D,Lohgaon To Katraj,लोहगांव ते कात्रज,21.1
24B-U,Katraj To Lohgaon,कात्रज ते लोहगांव,21.1
24-D,Maharashtra Housing Board Samtanagar To Katraj,महाराष्ट्र हौसिंग बोर्ड (समतानगर) ते कात्रज,18
24-NGT-D,Pune Station To Katraj,पुणे स्टेशन ते कात्रज,10.8
24-NGT-U,Katraj To Pune Station,कात्रज ते पुणे स्टेशन,10.8
24-U,Katraj To Maharashtra Housing Board Samtanagar,कात्रज ते महाराष्ट्र हौसिंग बोर्ड (समतानगर),18
252A-D,Charholigaon To Vishrantwadi,चऱ्होली गांव ते विश्रांतवाडी,12.4
252A-U,Vishrantwadi To Charholigaon,विश्रांतवाडी ते चऱ्होली गांव,12.4
252-D,Charholigaon To Ma Na Pa,चऱ्होली गांव ते मनपा,21.6
252-U,Ma Na Pa To Charholigaon,मनपा ते चऱ्होली गांव,21.6
256B-D,Banergaon To Ma Na Pa,बाणेरगांव ते मनपा,11
256B-U,Ma Na Pa To Banergaon,मनपा ते बाणेरगांव,11
256-D,Balewadi Depot To Ma Na Pa,बालेवाडी डेपो ते मनपा,13.5
256S-D,Someshwarwadi To Ma Na Pa,सोमेश्वरवाडी ते मनपा,8.1
256S-U,Ma Na Pa To Someshwarwadi,मनपा ते सोमेश्वरवाडी,8.1
256-U,Ma Na Pa To Balewadi Depot,मनपा ते बालेवाडी डेपो,13.5
257-D,Alandi To Kesnand Phata,आळंदी ते केसनंद फाटा,24
257-U,Kesnand Phata To Alandi,केसनंद फाटा ते आळंदी,24
262A-D,Dehugaon To Nigdi,देहू गांव ते निगडी,11.8
262A-U,Nigdi To Dehugaon,निगडी ते देहू गांव,11.8
262-D,Dehugaon To Ma Na Pa,देहू गांव ते मनपा,31.3
262-U,Ma Na Pa To Dehugaon,मनपा ते देहू गांव,31.3
264-D,Bahulgaon To Ma Na Pa,बहुळ गाव ते मनपा,38
264-U,Ma Na Pa To Bahulgaon,मनपा ते बहुळ गाव,38
26-D,Shivajinagar To Dhankawadi,शिवाजीनगर ते धनकवडी,10.2
26-U,Dhankawadi To Shivajinagar,धनकवडी ते शिवाजीनगर,10.2
276-D,Chinchwadgaon To Warje Malwadi,चिंचवडगांव ते वारजे माळवाडी,24.9
276-U,Warje Malwadi To Chinchwadgaon,वारजे माळवाडी ते चिंचवडगांव,24.9
277A-D,Kothrud Stand To Kondhwagate,कोथरुड स्टॅन्ड ते कोंढवा गेट,10
277A-U,Kondhwagate To Kothrud Stand,कोंढवा गेट ते कोथरुड स्टॅन्ड,10
277-D,Khadki Bazar To Kondhwagate,खडकी बाजार ते कोंढवा गेट,24
277-U,Kondhwagate To Khadki Bazar,कोंढवा गेट ते खडकी बाजार,24
279A-U,Kothrud Depo To Khamboli,कोथरुड डेपो ते खांबोली,28.6
279B-U,Deccan Gymkhana To Kothrud Depo,डेक्कन जिमखाना ते कोथरुड डेपो,6
279-D,Khamboli To Deccan Gymkhana,खांबोली ते डेक्कन जिमखाना,34.6
279-U,Deccan Gymkhana To Khamboli,डेक्कन जिमखाना ते खांबोली,34.6
27-D,Shivajinagar To Bharati Vidyapeeth,शिवाजीनगर ते भारती विद्यापीठ गेट,10.9
27-U,Bharati Vidyapeeth To Shivajinagar,भारती विद्यापीठ गेट ते शिवाजीनगर,10.9
280-D,Ma Na Pa To Warje Hanuman Chowk,"मनपा ते वारजे, हनुमान चौक",9.9
280-U,Warje Hanuman Chowk To Ma Na Pa,"वारजे, हनुमान चौक ते मनपा",9.9
281-D,Bhakti Shakti To Warje Malwadi,भक्ति शक्ति डेपो ते वारजे माळवाडी,28.4
281-U,Warje Malwadi To Bhakti Shakti,वारजे माळवाडी ते भक्ति शक्ति डेपो,28.4
282-D,Bhosarigaon To Warje Malwadi,भोसरीगाव ते वारजे माळवाडी,25.6
282-U,Warje Malwadi To Bhosarigaon,वारजे माळवाडी ते भोसरीगाव,25.6
283-D,Pune Station To Kumbare Park,पुणे स्टेशन ते कुंबरेपार्क,12.5
283-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,12.5
284-D,Bhakti Shakti To Kothrud Depot,भक्ति शक्ति डेपो ते कोथरुड डेपो,26.5
284-U,Kothrud Depot To Bhakti Shakti,कोथरुड डेपो ते भक्ति शक्ति डेपो,26.5
286-D,Azadnagar To Warje Malwadi  ,आझाद नगर ते वारजे माळवाडी  ,18.7
286-U, Warje Malwadi To Azadnagar,वारजे माळवाडी ते आझाद नगर,18.7
28-D,Shivajinagar To Katraj,शिवाजीनगर ते कात्रज,11.1
28-U,Katraj To Shivajinagar,कात्रज ते शिवाजीनगर,11.1
290A-D,Katraj To Shaninagar,कात्रज ते शनिनगर,1.1
290A-U,Shaninagar To Katraj,शनिनगर ते कात्रज,1.1
290-D,Shivajinagar To Shaninagar,शिवाजीनगर ते शनिनगर,11.6
290-U,Shaninagar To Shivajinagar,शनिनगर ते शिवाजीनगर,11.6
291A-D,Hadapsar Gadital To Upper Depot,हडपसर गाडीतळ ते अप्पर डेपो,15.6
291A-U,Upper Depot To Hadapsar Gadital,अप्पर डेपो ते हडपसर गाडीतळ,15.6
291-D,Hadapsar Gadital To Katraj,हडपसर गाडीतळ ते कात्रज,14.2
291-U,Katraj To Hadapsar Gadital,कात्रज ते हडपसर गाडीतळ,14.2
292A-D,Kalyangaon To Swargate,कल्याणगांव ते स्वारगेट,34
292A-U,Swargate To Kalyangaon,स्वारगेट ते कल्याणगांव,34
292B-D,Rahatwadegaon To Swargate,रहाटवडे गांव ते स्वारगेट,30
292B-U,Swargate To Rahatwadegaon,स्वारगेट ते रहाटवडे गांव,30
292C-D,Avsarwadi To Swargate,अवसरवाडी ते स्वारगेट,31
292C-U,Swargate To Avsarwadi,स्वारगेट ते अवसरवाडी,31
292-D,Kondhanpur To Swargate,कोंढणपुर ते स्वारगेट,29
292D-D,Swargate To Kondhanpur,स्वारगेट ते कोंढणपुर,29
292-U,Swargate To Kondhanpur,स्वारगेट ते कोंढणपुर,29
293A-D,Kusgaon To Swargate,कुसगांव ते स्वारगेट,25.3
293A-U,Swargate To Kusgaon,स्वारगेट ते कुसगांव,25.3
293D-D,Khed Shivapur To Swargate,खेड शिवापुर ते स्वारगेट,19.8
293D-U,Swargate To Khed Shivapur,स्वारगेट ते खेड शिवापुर,19.8
294-D,Khadakwasla Dharan To Katraj,खडकवासला धरण ते कात्रज,13
294-U,Katraj To Khadakwasla Dharan,कात्रज ते खडकवासला धरण,13
295A-D,Ambegaon To Katraj,आंबेगांव ते कात्रज,3
295A-U,Katraj To Ambegaon,कात्रज ते आंबेगांव,3
295B-D,Katraj To Pune Station,कात्रज ते पुणे स्टेशन,13.7
295-D,Pune Station To Ambegaon,पुणे स्टेशन ते आंबेगांव,16.7
295-U,Ambegaon To Pune Station,आंबेगांव ते पुणे स्टेशन,16.7
296A-D,Jambhulwadi To Katraj,जांभूळवाडी ते कात्रज,5
296A-U,Katraj To Jambhulwadi,कात्रज ते जांभूळवाडी,5
296-D,Shivajinagar To Jambhulwadi,शिवाजीनगर ते जांभूळवाडी,13.3
296-U,Jambhulwadi To Shivajinagar,जांभूळवाडी ते शिवाजीनगर,13.3
297-D,Shivajinagar To Rajas Society,शिवाजीनगर ते राजेश सोसायटी,11.5
297-U,Rajas Society To Shivajinagar,राजेश सोसायटी ते शिवाजीनगर,11.5
298-D,Chinchwadgaon To Katraj,चिंचवडगांव ते कात्रज,26.75
298-U,Katraj To Chinchwadgaon,कात्रज ते चिंचवडगांव,26.75
299-D,Bhosarigaon To Katraj,भोसरीगाव ते कात्रज,26.9
299-U,Katraj To Bhosarigaon,कात्रज ते भोसरीगाव,26.9
29A-D,Alandi To Swargate,आळंदी ते स्वारगेट,28.6
29A-U,Swargate To Alandi,स्वारगेट ते आळंदी,28.6
29-D,Vishrantwadi To Swargate,विश्रांतवाडी ते स्वारगेट,12.6
29-U,Swargate To Vishrantwadi,स्वारगेट ते विश्रांतवाडी,12.6
2A-D,Shivajinagar To Katraj Ladies Special,शिवाजीनगर ते कात्रज लेडीज स्पेशिअल,10.5
2A-U,Katraj To Shivajinagar Ladies Special,कात्रज ते शिवाजीनगर लेडीज स्पेशिअल,10.5
2B-D,Shivajinagar To Bhilarewadi,शिवाजीनगर ते भिलारेवाडी,12
2B-U,Bhilarewadi To Shivajinagar,भिलारेवाडी ते शिवाजीनगर,12
2-D,Shivajinagar To Katraj,शिवाजीनगर ते कात्रज,10.5
2D-D,Sachchai Mata Mandir To Katraj,सच्चाई माता मंदिर ते कात्रज,2
2E-D,Sachchai Mata Mandir To Swargate,सच्चाई माता मंदिर ते स्वारगेट,8
2E-U,Swargate To Sachchai Mata Mandir,स्वारगेट ते सच्चाई माता मंदिर,8
2F-D,Taljai Pathar To Swargate,तळजाई पठार ते स्वारगेट,6.5
2G-U,Taljai Pathar To Shivajinagar,तळजाई पठार ते शिवाजीनगर,10.1
2H-D,Sachchai Mata Mandir To Shivajinagar,सच्चाई माता मंदिर ते शिवाजीनगर,12.4
2H-U,Shivajinagar To Sachchai Mata Mandir,शिवाजीनगर ते सच्चाई माता मंदिर,12.4
2I-D,Pune Vidhyapeeth To Katraj,पुणे विद्यापीठ ते कात्रज,14
2I-U,Katraj To Pune Vidhyapeeth,कात्रज ते पुणे विद्यापीठ,14
2J-D,Bhilarewadi To Katraj,भिलारेवाडी ते कात्रज,1.5
2J-U,Katraj To Bhilarewadi,कात्रज ते भिलारेवाडी,1.5
2K-D,Shivajinagar To Narhegaon,शिवाजीनगर ते नऱ्हे आंबेगांव,13
2K-U,Narhegaon To Shivajinagar,नऱ्हे आंबेगांव ते शिवाजीनगर,13
2L-D,Katraj To Narhegaon,कात्रज ते नऱ्हे आंबेगांव,2.5
2L-U,Narhegaon To Katraj,नऱ्हे आंबेगांव ते कात्रज,2.5
2-NGT-D,Shivajinagar To Katraj Night Service,शिवाजीनगर ते कात्रज नाईट सर्विस,10.5
2-NGT-U,Katraj To Shivajinagar Night Service,कात्रज ते शिवाजीनगर नाईट सर्विस,10.5
2-U,Katraj To Shivajinagar,कात्रज ते शिवाजीनगर,10.5
301-D,Shewalwadi To Katraj,शेवाळवाडी ते कात्रज,19
301-U,Katraj To Shewalwadi,कात्रज ते शेवाळवाडी,19
302A-D,Alandi To Pimprigaon,आळंदी ते पिंपरी गाव,17.7
302A-U,Pimprigaon To Alandi,पिंपरी गाव ते आळंदी,17.7
302B-D,Bopkhel To Pimprigaon,बोपखेल ते पिंपरी गाव,19.85
302B-U,Pimprigaon To Bopkhel,पिंपरी गाव ते बोपखेल,19.5
302C-D,Gavhanevasti Bhosari To Nehrunagar Depo,गव्हाणे वस्ती भोसरी ते नेहरूनगर डेपो,3.5
302C-U,Nehrunagar Depo To Gavhanevasti Bhosari,नेहरूनगर डेपो ते गव्हाणे वस्ती भोसरी,3.5
302-D,Gavhanevasti Bhosari To Pimprigaon,गव्हाणे वस्ती भोसरी ते पिंपरी गाव,8.65
302D-D,Pimprigaon To Nehrunagar Depo,पिंपरी गाव ते नेहरूनगर डेपो,5.7
302D-U,Nehrunagar Depo To Pimprigaon,नेहरूनगर डेपो ते पिंपरी गाव,5.7
302-U,Pimprigaon To Gavhanevasti Bhosari,पिंपरी गाव ते गव्हाणे वस्ती भोसरी,8.65
303A-D, Mukai Chowk To Nigdi,मुकईचौक ते निगडी,8.6
303A-U, Nigdi To  Mukai Chowk,निगडी ते मुकईचौक  ,8.6
303-D,Akurdi Railway Station To Nigdi,आकुर्डी रेल्वे स्टेशन ते निगडी,6.2
303-U,Nigdi To Akurdi Railway Station,निगडी ते आकुर्डी रेल्वे स्टेशन,6.2
304A-D,Bhosari To Nehrunagar Depo,भोसरी ते नेहरूनगर डेपो,3.5
304A-U,Nehrunagar Depo To Bhosari,नेहरूनगर डेपो ते भोसरी,3.5
304-D,Gavhanevasti Bhosari To Chinchwadgaon,गव्हाणे वस्ती भोसरी ते चिंचवडगांव,10.2
304-U,Chinchwadgaon To Gavhanevasti Bhosari,चिंचवडगांव ते गव्हाणे वस्ती भोसरी,10.2
305A-D,Dy Patil College Wadgaonmawal To Nigdi,डी.वाय.पाटील कॉलेज ते निगडी,22
305A-U,Nigdi To Dy Patil College Wadgaonmawal,निगडी ते डी.वाय.पाटील कॉलेज,22
305B-D,Navlakh Umbre To Nigdi,नवलाख उंबरे ते निगडी,26
305B-U,Nigdi To Navlakh Umbre,निगडी ते नवलाख उंबरे,26
305-D,Vadgaon Mawal To Nigdi,वडगांव मावळ ते निगडी,22
305-U,Nigdi To Vadgaon Mawal,निगडी ते वडगांव मावळ,22
306-D,Hinjawadi Maan Phase 3 To Dange Chowk,हिंजवडी माण फेज ३ ते डांगे चौक,13.3
306-U,Dange Chowk To Hinjawadi Maan Phase 3,डांगे चौक ते हिंजवडी माण फेज ३,13.3
307A-D,Chinchwadgaon To Bhakti Shakti,चिंचवडगांव ते भक्ति शक्ति डेपो,4.6
307A-U,Bhakti Shakti To Chinchwadgaon,भक्ति शक्ति डेपो ते चिंचवडगांव,4.6
307-D,Walhekarwadi To Chinchwadgaon,वाल्हेकरवाडी ते चिंचवडगांव,2.3
307-U,Chinchwadgaon To Walhekarwadi,चिंचवडगांव ते वाल्हेकरवाडी,2.3
308-D,Gharkul Vasahat Chikhli To Bhakti Shakti,घरकुल वसाहत चिखली ते भक्ति शक्ति डेपो,5.4
308-U,Bhakti Shakti To Gharkul Vasahat Chikhli,भक्ति शक्ति डेपो ते घरकुल वसाहत चिखली,5.4
309-D,Dehugaon To Alandi,देहू गांव ते आळंदी,16
309-U,Alandi To Dehugaon,आळंदी ते देहू गांव,16
30A-D,Rautwadi To Marketyard,राऊतवाडी ते मार्केटयार्ड,28
30A-U,Marketyard To Rautwadi,मार्केटयार्ड ते राऊतवाडी,28
30-D,Ghotawade Phata To Marketyard,घोटावडे फाटा ते मार्केटयार्ड,31.5
30-U,Marketyard To Ghotawade Phata,मार्केटयार्ड ते घोटावडे फाटा,31.5
310A-D,Walhekarwadi To Nehrunagar Depo,वाल्हेकरवाडी ते नेहरूनगर डेपो,7.7
310A-U,Nehrunagar Depo To Walhekarwadi,नेहरूनगर डेपो ते वाल्हेकरवाडी,7.7
310-D,Walhekarwadi To Pune Station,वाल्हेकरवाडी ते पुणे स्टेशन,24.8
310-U,Pune Station To Walhekarwadi,पुणे स्टेशन ते वाल्हेकरवाडी,24.8
311-D,Pimprigaon To Pune Station,पिंपरी गाव ते पुणे स्टेशन,21.8
311-U,Pune Station To Pimprigaon,पुणे स्टेशन ते पिंपरी गाव,21.8
312-D,Chinchwadgaon To Pune Station,चिंचवडगांव ते पुणे स्टेशन,22.5
312-U,Pune Station To Chinchwadgaon,पुणे स्टेशन ते चिंचवडगांव,22.5
313A-D,Kasarsai Karkhana To Chinchwadgaon,कासरसाई कारखाना ते चिंचवडगांव,17.2
313A-U,Chinchwadgaon To Kasarsai Karkhana,चिंचवडगांव ते कासरसाई कारखाना,17.2
313B-D,Bhakti Shakti To Kasarsai Karkhana,भक्ति शक्ति डेपो ते कासरसाई कारखाना,21.5
313C-D,Nehrunagar Depo To Chandkhed,नेहरूनगर डेपो ते चांदखेड,25.7
313-D,Chandkhed To Chinchwadgaon,चांदखेड ते चिंचवडगांव,19.3
313D-D,Bhakti Shakti To Chandkhed,भक्ति शक्ति डेपो ते चांदखेड,21.5
313-U,Chinchwadgaon To Chandkhed,चिंचवडगांव ते चांदखेड,19.3
314-D,Mhalunge MIDC To Bhakti Shakti,म्हाळुंगे एमआयडीसी ते भक्ति शक्ति डेपो,11.2
