Route ID,Route Description,Route Description Marathi,Kilometer
119-D,Alandi To Ma Na Pa,आळंदी ते मनपा,23.1
119-U,Ma Na Pa To Alandi,मनपा ते आळंदी,23.1
11-D,Pimplegurav To Marketyard,पिंपळे गुरव ते मार्केटयार्ड,18.3
11-U,Marketyard To Pimplegurav,मार्केटयार्ड ते पिंपळे गुरव,18.3
11K-D,Kalpataru To Katraj,कल्पतरू सोसायटी ते कात्रज,21.6
11K-U,Katraj To Kalpataru,कात्रज ते कल्पतरू सोसायटी,21.6
120A-D,Indoorance System To Bhosari,इनडोरेन्स सिस्टिम म्हाळुंगे ते भोसरी,23.5
120A-U,Bhosari To Indoorance System,भोसरी ते इनडोरेन्स सिस्टिम म्हाळुंगे,23.5
120-D,Indoorance System Chakan Mhalunge To Ma Na Pa,इनडूरन्स सिस्टिम चाकण म्हाळुंगे ते मनपा,40.6
120-U,Ma Na Pa To Indoorance System Chakan Mhalunge,मनपा ते इनडूरन्स सिस्टिम चाकण म्हाळुंगे,40.6
121-D,Bhosari Terminal To Ma Na Pa,भोसरी टर्मिनल ते मनपा,17.1
121-U,Ma Na Pa To Bhosari Terminal,मनपा ते भोसरी टर्मिनल,17.1
122A-U,Nehrunagar Depo To Ma Na Pa,नेहरूनगर डेपो ते मनपा,15.9
122B-D,Chinchwadgaon To Nehrunagar Depo,चिंचवडगांव ते नेहरूनगर डेपो,6
122B-U,Nehrunagar Depo To Chinchwadgaon,नेहरूनगर डेपो ते चिंचवडगांव,6
122C-U,Ma Na Pa To Chinchwadgaon,मनपा ते चिंचवडगांव,18.7
122-D,Chinchwadgaon To Ma Na Pa,चिंचवडगांव ते मनपा,18.7
122-U,Ma Na Pa To Chinchwadgaon,मनपा ते चिंचवडगांव,18.7
123-D,Bhakti Shakti To Ma Na Pa,भक्ति शक्ति डेपो ते मनपा,20.1
123-U,Ma Na Pa To Bhakti Shakti,मनपा ते भक्ति शक्ति डेपो,20.1
125-D,Dapodi Mantri Niketan To Bopkhel,दापोडी मंत्री निकेतन ते बोपखेल,12.7
125-U,Bopkhel To Dapodi Mantri Niketan,बोपखेल ते दापोडी मंत्री निकेतन,12.7
126A-D,Kamalpark To Khadki Bazar,कमलपार्क ते खडकी बाजार,10.1
126B-U,Kamalpark To Pimplenilakh,कमलपार्क ते पिंपळे निलख,20.2
126C-U,Khadki Bazar To Pimplenilakh,खडकी बाजार ते पिंपळे निलख,10.2
126-D,Pimplenilakh To Vishrantwadi,पिंपळे निलख ते विश्रांतवाडी,16.2
126D-U,Khadki Bazar To Vishrantwadi,खडकी बाजार ते विश्रांतवाडी,6
126-U,Vishrantwadi To Pimplenilakh,विश्रांतवाडी ते पिंपळे निलख,16.2
128-D,Bopkhel To Ma Na Pa,बोपखेल ते मनपा,19.1
128-U,Ma Na Pa To Bopkhel,मनपा ते बोपखेल,19.1
129-D, Balewadi Depot To Pune Station,बालेवाडी डेपो ते पुणे स्टेशन,18.8
129-U,Pune Station To  Balewadi Depot,पुणे स्टेशन ते बालेवाडी डेपो  ,18.8
12-D,Bhakti Shakti To Upper Depot,भक्ति शक्ति डेपो ते अप्पर डेपो,30.05
12-U,Upper Depot To Bhakti Shakti,अप्पर डेपो ते भक्ति शक्ति डेपो,30.05
130A-D,Yewalewadi To Katraj,येवलेवाडी ते कात्रज,5.7
130A-U,Katraj To Yewalewadi,कात्रज ते येवलेवाडी,5.7
130-D,Shivajinagar To Yewalewadi,शिवाजीनगर ते येवलेवाडी,16.1
130-U,Yewalewadi To Shivajinagar,येवलेवाडी ते शिवाजीनगर,16.1
132A-D,Vadgaonsheri To Ma Na Pa (Via Shubham),वडगावशेरी ते मनपा (मार्गे शुभम ),14
132A-U,Ma Na Pa To Vadgaonsheri (Via Shubham),मनपा ते वडगावशेरी  (मार्गे शुभम ),14
132-D,Shubham Society Nagar Road To Ma Na Pa,शुभम सोसायटी नगर रोड ते मनपा,11.1
132-U,Ma Na Pa To Shubham Society Nagar Road,मनपा ते शुभम सोसायटी नगर रोड,11.1
133A-D,Vadgaon Sheri To Ma Na Pa (Via Anand Park),वडगावशेरी ते मनपा (मार्गे आनंद पार्क),14.8
133A-U,Ma Na Pa To Vadgaon Sheri (Via Anand Park),मनपा ते वडगावशेरी (मार्गे आनंद पार्क),14.8
133-D,Anand Park To Ma Na Pa,आनंदपार्क ते मनपा,12.8
133-U,Ma Na Pa To Anand Park,मनपा ते आनंदपार्क,12.8
133B-D,Sainathnagar To Ma Na Pa,साईनाथ नगर ते मनपा,14
133B-U,Ma Na Pa To Sainath nagar,मनपा ते साईनाथ नगर,14
134-D,Vidyanagar To Pune Station,विद्यानगर ते पुणे स्टेशन,8.7
134-U,Pune Station To Vidyanagar,पुणे स्टेशन ते विद्यानगर,8.7
135A-D,Wadebolhai To Kesnand Phata,वाडेबोल्हाई ते केसनंद फाटा,10.8
135A-U,Kesnand Phata To Wadebolhai,केसनंद फाटा ते वाडेबोल्हाई,10.8
135-D,Wadebolhai To Pune Station,वाडेबोल्हाई ते पुणे स्टेशन,25.6
135-U,Pune Station To Wadebolhai,पुणे स्टेशन ते वाडेबोल्हाई,25.6
136A-D,Vadegaon To Kesnand Phata,वाडेगाव ते केसनंद फाटा,12.7
136A-U,Kesnand Phata To Vadegaon,केसनंद फाटा ते वाडेगाव,12.7
136-D,Vadegaon To Pune Station,वाडेगाव ते पुणे स्टेशन,27.5
136-U,Pune Station To Vadegaon,पुणे स्टेशन ते वाडेगाव,27.5
139A-D,Bhakti Shakti To Bhekrainagar,भक्ति शक्ति डेपो ते भेकराई नगर,30.7
139A-U,Bhekrainagar To Bhakti Shakti,भेकराई नगर ते भक्ति शक्ति डेपो,30.7
139-D,Bhakti Shakti To Shewalwadi,भक्ति शक्ति डेपो ते शेवाळवाडी,31.6
139-U,Shewalwadi To Bhakti Shakti,शेवाळवाडी ते भक्ति शक्ति डेपो,31.6
13A-D,Shivajinagar To VIT College,शिवाजीनगर ते व्ही आय टी कॉलेज,11.9
13A-U,Vit College To Shivajinagar,व्ही आय टी कॉलेज ते शिवाजीनगर,11.9
13B-D,Pune Vidhyapeeth To Upper Depo,पुणे विद्यापीठ ते अप्पर डेपो,14.5
13B-U,Upper Depo To Pune Vidhyapeeth,अप्पर डेपो ते पुणे विद्यापीठ,14.5
13C-U,Upper Depo To Pune Vidhyapeeth,अप्पर डेपो ते पुणे विद्यापीठ,14.5
13-D,Shivajinagar To Upper Depot,शिवाजीनगर ते अप्पर डेपो,10
13L-D,Shivajinagar To Lake Town Society,शिवाजीनगर ते लेकटाऊन सोसायटी,9.6
13L-U,Lake Town Society To Shivajinagar,लेकटाऊन सोसायटी ते शिवाजीनगर,9.6
13-U,Upper Depot To Shivajinagar,अप्पर डेपो ते शिवाजीनगर,10
140-D,Pune Station To Upper Depot,पुणे स्टेशन ते अप्पर डेपो,11.3
140-U,Upper Depot To Pune Station,अप्पर डेपो ते पुणे स्टेशन,11.3
141A-D,Marketyard To Khandoba Mandir,मार्केटयार्ड ते खडोंबा मंदिर,6
141A-U,Khandoba Mandir To Marketyard,खडोंबा मंदिर ते मार्केटयार्ड,6
141-D,Pune Station To Khandoba Mandir,पुणे स्टेशन ते खडोंबा मंदिर,11.9
141-U,Khandoba Mandir To Pune Station,खडोंबा मंदिर ते पुणे स्टेशन,11.9
142-D,Ghotawade Phata To Pune Station,घोटावडे फाटा ते पुणे स्टेशन,31.8
142-U,Pune Station To Ghotawade Phata,पुणे स्टेशन ते घोटावडे फाटा,31.8
143A-D,Pune Station To Galinde Path (Vai Nal Stop),पुणे स्टेशन ते गालिंदे पथ (मार्गे नळ स्टॉप),11.3
143A-U,Galinde Path To Pune Station (Vai Nal Stop),गालिंदे पथ ते पुणे स्टेशन (मार्गे नळ स्टॉप),11.3
143-D,Pune Station To Galinde Path (Vai Mhatre Pul),पुणे स्टेशन ते गालिंदे पथ (मार्गे म्हात्रे पूल),11.3
143-U,Galinde Path To Pune Station (Vai Mhatre Pul),गालिंदे पथ ते पुणे स्टेशन (मार्गे म्हात्रे पूल),11.3
144A-D,Pune Station To Sai Sayajinagar,पुणे स्टेशन ते साई सयाजी नगर,13.9
144A-U,Sai Sayajinagar To Pune Station,साई सयाजी नगर ते पुणे स्टेशन,13.9
144B-D,Sainathnagar To Kumbre Park,साईनाथ नगर ते कुंबरे पार्क,22.7
144B-U,Kumbre Park To Sainathnagar,कुंबरे पार्क ते साईनाथ नगर,22.7
144-D,Pune Station To Kothrud Stand,पुणे स्टेशन ते कोथरुड स्टॅन्ड,9
144D-D,Pune Station To Kumbare Park,पुणे स्टेशन ते कुंबरेपार्क,12.5
144D-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,12.5
144K-D,Pune Station To Gujrat Colony,पुणे स्टेशन ते गुजराथ कॉलनी,9
144K-U,Gujrat Colony To Pune Station,गुजराथ कॉलनी ते पुणे स्टेशन,9
144-U,Kothrud Stand To Pune Station,कोथरुड स्टॅन्ड ते पुणे स्टेशन,9
145A-D,D2 Circle To Pune Station,डी 2 सर्कल ते पुणे स्टेशन,25.75
145A-U,Pune Station To D2 Circle,पुणे स्टेशन ते डी 2 सर्कल,25.75
145B-D,Sutarwadi Pashan To Pune Station,सुतारवाडी ते पुणे स्टेशन,13
145B-U,Pune Station To Sutarwadi Pashan,पुणे स्टेशन ते सुतारवाडी,13
145-D,NDA Golmarket To Pune Station,एनडीए गोल मार्केट ते पुणे स्टेशन,23.15
145-U,Pune Station To NDA Gol Market,पुणे स्टेशन ते एनडीए गोल मार्केट,23.15
146-D,Gokhalenagar To Pune Station,गोखलेनगर ते पुणे स्टेशन,8.45
146-U,Pune Station To Gokhalenagar,पुणे स्टेशन ते गोखलेनगर,8.45
147A-D,Nhavi Sandas To Kesnand Phata,न्हावी सांडस ते केसनंद फाटा,23.2
147A-U,Kesnand Phata To Nhavi Sandas,केसनंद फाटा ते न्हावी सांडस,23.2
147-D,Nhavi Sandas To Pune Station,न्हावी सांडस ते पुणे स्टेशन,38
147-U,Pune Station To Nhavi Sandas,पुणे स्टेशन ते न्हावी सांडस,38
148A-D,Bhosari To Bhekrainagar,भोसरी ते भेकराई नगर,33.7
148A-U,Bhekrainagar To Bhosari,भेकराई नगर ते भोसरी,33.7
148-D,Pimplegurav To Shewalwadi,पिंपळे गुरव ते शेवाळवाडी,24.8
148-U,Shewalwadi To Pimplegurav,शेवाळवाडी ते पिंपळे गुरव,24.8
149A-D,Bhakti Shakti To Shewalwadi,भक्ति शक्ति डेपो ते शेवाळवाडी,42.9
149A-U,Shewalwadi To Bhakti Shakti,शेवाळवाडी ते भक्ति शक्ति डेपो,42.9
149-D,Pimpri To Shewalwadi,पिंपरी ते शेवाळवाडी,37.6
149-U,Shewalwadi To Pimpri,शेवाळवाडी ते पिंपरी,37.6
14-D,Kesnand Phata To Dhayari Maruti Mandir,केसनंद फाटा ते धायरी मारूती मंदिर,31.6
14-U,Dhayari Maruti Mandir To Kesnand Phata,धायरी मारूती मंदिर ते केसनंद फाटा,31.6
151-D,Alandi To Pune Station,आळंदी ते पुणे स्टेशन,22
151-U,Pune Station To Alandi,पुणे स्टेशन ते आळंदी,22
152A-D,Munjabavasti To Ma Na Pa,मुंजाबावस्ती ते मनपा,12.3
152A-U,Ma Na Pa To Munjabavasti,मनपा ते मुंजाबावस्ती,12.3
152D-D,Ma Na Pa To Dhanorigaon,मनपा ते धानोरी गांव,11.6
154-D,Vishrantwadi To Pune Station,विश्रांतवाडी ते पुणे स्टेशन,8.5
154-U,Pune Station To Vishrantwadi,पुणे स्टेशन ते विश्रांतवाडी,8.5
155-D,Lohgaon To Pune Station (Via Dhanori),लोहगांव ते पुणे स्टेशन (मार्गे धानोरी ),15.7
155-U,Pune Station To Lohgaon (Via Dhanori),पुणे स्टेशन ते लोहगांव (मार्गे धानोरी ),15.7
158A-D,Dadachi Padal To Ma Na Pa,दादाची पडळ ते मनपा,15.5
158A-U,Ma Na Pa To Dadachi Padal,मनपा ते दादाची पडळ,15.5
158-D,Lohgaon To Ma Na Pa,लोहगांव ते मनपा,13.5
158-U,Ma Na Pa To Lohgaon,मनपा ते लोहगांव,13.5
159-D,Talegaon Dhamdhere To Ma Na Pa,तळेगाव ढमढेरे ते मनपा,40.5
159K-D,Koregaon Bhima To Ma Na Pa,कोरेगांव भिमा ते मनपा,29
159K-U,Ma Na Pa To Koregaon Bhima,मनपा ते कोरेगांव भिमा,29
